layer	latent	clinical_exp	model
12	0	"""The presence of the word \""labeled\"" or \""labelling\"" or \""labels\"" in the text, often indicating the act of assigning a name or description to something, typically in a medical or scientific context."""	2B
12	1	"""Containers or objects used in medical or laboratory procedures, or in food preparation and serving."""	2B
12	10	"""Tokens that are part of specific medical terminology or procedures."""	2B
12	100	"""Medical findings, diagnoses, procedures, and patient information."""	2B
12	1001	"""Units of measurement, abbreviations, or suffixes in medical terminology."""	2B
12	1002	"""Abbreviations, medical terminology, and specific medical concepts, particularly those related to medication instructions, medical procedures, and anatomical references."""	2B
12	1003	"""Expressions of surprise or unexpectedness in medical narratives."""	2B
12	1004	"""Empty tokens between delimiters are highly activated, suggesting that the model is responding to the presence of the delimiters themselves, rather than the content within them."""	2B
12	1005	"""Medications, medical conditions, or body parts."""	2B
12	1006	"""Quantities or units of measurement, often in the context of medication, time, or physical attributes."""	2B
12	1007	"""The \"">\"" symbol is activated when it appears in a specific formatting context, often indicating a transition or a new section, particularly in medical or technical texts, and is not necessarily related to the meaning of the surrounding text."""	2B
12	1008	"""Phrases indicating uncertainty, approximation, or exclusion in medical assessments and measurements."""	2B
12	1009	"""The model is activated by tokens that describe or quantify medical observations, measurements, or assessments, often indicating the presence or absence of a particular condition or characteristic."""	2B
12	101	"""Periods (.) used in abbreviations for bacteria or medical terms."""	2B
12	1010	"""The model is activated by tokens indicating time or context of medical events, such as arrival, admission, or occurrence, as well as actions or decisions related to medical treatment or procedures."""	2B
12	1011	"""The model is activated by tokens that are part of medical abbreviations or appear to be truncated medical terms."""	2B
12	1012	"""Medical conditions, procedures, or body parts."""	2B
12	1013	"""The digit \""1\"" is consistently activated when it appears as the first character in a medication dosage or quantity."""	2B
12	1016	"""Medical terms, diagnoses, medications, and medical instructions or procedures."""	2B
12	1017	"""Abbreviations, particularly those used in medical prescriptions and dosing instructions."""	2B
12	1018	"""Activities of daily living or routine care."""	2B
12	1019	"""Numerical values, particularly those representing quantities or measurements, often in the context of medication dosages or medical imaging."""	2B
12	102	"""Numerical values or quantities, often representing measurements, weights, or dosages."""	2B
12	1020	"""Numerical values or abbreviations for medical treatments or laboratory values."""	2B
12	1021	"""Numerical values, medical terminology, and specific details within medical diagnoses or procedures."""	2B
12	1022	"""Insurance-related concepts, including mentions of insurance companies, coverage, and payment issues."""	2B
12	1023	"""Commas separating items in a list, particularly in medical prescriptions or diagnoses."""	2B
12	1024	"""Non-adherence or non-compliance with medical treatment or regimen."""	2B
12	1025	"""Anatomical locations or medical terms related to specific body regions or structures."""	2B
12	1026	"""The word \""respectively\"" is consistently activated, indicating that the model is recognizing this word as a key token, likely due to its role in clarifying the relationship between items in a list or sequence."""	2B
12	1028	"""The model is activated by the concept of paying for housing, specifically renting."""	2B
12	103	"""Abbreviations and symbols commonly used in medical prescriptions and instructions."""	2B
12	1030	"""Names of medications, patients, or medical abbreviations."""	2B
12	1031	"""The token \""true\"" is consistently activated, suggesting it represents a pattern of confirmation or validation, while \""false\"" is less consistently activated, indicating it may represent a pattern of negation or contradiction."""	2B
12	1032	"""Use of the first-person plural pronoun \""Our\""."""	2B
12	1033	"""Medical terms, diagnoses, medications, and medical procedures."""	2B
12	1034	"""Time spent in a particular location or state, often related to medical treatment or hospitalization."""	2B
12	1035	"""Periods and numbers within a sequence, often indicating a list or enumeration."""	2B
12	1036	"""Medical abbreviations, conjunctions, and punctuation marks that connect or separate medical terms or concepts."""	2B
12	1037	"""The token \""just\"" is activated when it is used to indicate a temporal or spatial proximity, often in the context of a sequence of events or a physical location."""	2B
12	1038	"""The model is activated by terms related to empirical treatment or enterococcus."""	2B
12	1039	"""The token \""ASSESSMENT\"" is consistently activated across all snippets, indicating that it is a key term in the context of medical evaluations and diagnoses, often marking the beginning of a section where a healthcare professional summarizes their findings and outlines a plan for the patient's care."""	2B
